ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,bench,dim,instance,rep,model_mae
-0.1630837074675432,-1.8289451211639243,2,0.015,0.16579635722278452,0.27237175718117224,0.0064860101304473755,0.13664700761774762,21.06796086800474,0.17653903527643844,0.26768528307847395,409.92222338096724,0.30969131021382046,0.016,0.6736223165951849,0.667875903324435,0.720971320793672,0.3852274774142931,-0.46736140206256244,0.047,0.3695670583285983,0.5625270598785473,0.6771605248364593,0.7317041237377682,0.37897463093392836,0.5816671868393621,0.6818338887683625,0.6974837228944933,-0.3089700197697352,-0.21440190387211955,-0.1582209818530093,-0.13148961089042754,-0.28991716652923116,-0.19529292988485158,-0.14853148043310743,-0.14122557025213767,0.0,0.8143709516979817,1.0060060060060056,0.14937899175908143,-0.015015015015014989,0.6081081081081081,0.172,rbv2_glmnet,3,37,0,0.001406739584604899
-0.3793370589387439,-1.7449574142265607,2,0.015,0.20726691897230487,0.259320925563278,0.006635102075017128,0.11387886796744165,17.16309209412542,0.2073483602202334,0.34357209219225937,8.888407750510579,0.4501304473137535,0.016,0.6690616263175507,0.6480086544621312,0.7682357973947108,0.3927546301829983,-0.40553412793313304,0.047,0.824897420807856,0.6173897107422489,0.6347212818866474,0.69278640560539,0.8133238069008741,0.5060078729851362,0.5949885969125515,0.6472077762164785,-0.08705815947499213,-0.19022762390280423,-0.18161064811865246,-0.15274161132911196,-0.08848090235084916,-0.234142706827543,-0.19196756593665898,-0.16721668566571413,0.0,0.7445052346671676,0.7257257257257255,0.1675807864530769,-0.4954954954954953,0.5743243243243243,0.25,rbv2_glmnet,3,37,1,0.0016118301471074415
-0.12548357536732252,-1.8551353534923452,2,0.015,0.1895904388707258,0.25850531433389073,0.017515265758229624,0.16868873204645693,9.630954755408025,0.17917353598190822,0.36688082618949736,17.219051107924944,0.39268428137630695,0.015,0.4979068689972395,0.6166244701618909,0.5810891332167346,0.39537149568798136,-0.44879572361715486,0.079,0.18534115103900448,0.8802774425124343,0.982971145883683,1.0076175191331627,0.20147219184154241,0.6103320889665538,0.948673629642145,0.9821130454655952,-0.4021635109581788,-0.059102094234291025,-0.008406443712907608,0.0037604553652009765,-0.3900689410084856,-0.19034697082414348,-0.025072167464611272,-0.008737510881672017,0.0,0.8060265639799199,0.7257257257257255,0.08393129498166364,-0.07507507507507503,0.5675675675675675,0.235,rbv2_glmnet,3,37,2,0.0016100436449050894
-0.5423020909158699,-1.558855478536597,2,0.0,0.15157671522370741,0.26662651825230854,0.016763452243367977,0.08809981012557513,5.255469389393198,0.14349246365880042,0.20058107380449697,6.27269748369533,0.1877568729991399,0.032,0.5732997213793093,0.606309492060382,0.6269581730215665,0.43174409111168216,-0.4862630810823535,0.062,0.477295145900693,0.8617306970293181,0.776698853810411,0.7565731130526961,0.7244471181375148,0.9266057204453629,0.7880711345029435,0.7825010631256571,-0.2700673813892407,-0.07143998814427138,-0.115373628807321,-0.1257720516693404,-0.1366192022198402,-0.036388906014993005,-0.1050743956508971,-0.10783603872546382,0.015,0.8337838820352527,0.8658658658658656,0.14593657991557576,-0.4754754754754753,0.5675675675675675,0.172,rbv2_glmnet,3,37,3,0.0013694657603899628
-0.5573190736505617,-1.5848229186510883,2,0.015,0.13604787480618596,0.27122729531041045,0.012343904448158388,0.1299709501394442,10.52916041964622,0.1266906179297531,0.21155965034558621,14.307586489945738,0.23535060045441847,0.031,0.7020757417866823,0.6711895023092919,0.8021309946527105,0.38852366542861394,-0.49793268884478303,0.047,0.5315086306951674,0.8070088134923482,0.859115130352285,0.829833440748417,0.7934463373043764,0.9158985225951137,0.8293767497988236,0.7771713874836774,-0.1962216616035955,-0.08083190806176971,-0.05900783883831395,-0.0712721027396051,-0.0824858802525022,-0.033585385530057466,-0.06813730049961081,-0.08898517706721853,0.0,0.7823706275117462,1.2662662662662656,0.10330690810859267,0.06506506506506508,0.5540540540540541,0.235,rbv2_glmnet,3,37,4,0.0013133257587750761
-0.31573371803887784,-1.7218089199490094,2,0.016,0.18567494227865744,0.2692121125745352,0.00218462954557131,0.12992791325309333,59.47365928309618,0.17941684621235088,0.32884276796436607,53.17992289961889,0.42765085428473226,0.016,0.6336899447264094,0.6294397175739759,0.5834592308954011,0.4290395797290228,-0.43378033260885085,0.062,0.27574404357135207,0.9008452627114402,0.9765707478131174,0.9494526848001043,0.2389492317683545,0.9534466753546753,1.0455438485904767,0.9560409744975773,-0.382755420539704,-0.05240138218059037,-0.012381911662751377,-0.02671328929332062,-0.38801235974170883,-0.023734639137708957,0.02321997020562916,-0.02241196767565623,0.0,0.8188434829818985,0.9659659659659654,0.08015006961565405,-0.43543543543543517,0.6418918918918919,0.172,rbv2_glmnet,3,37,5,0.0016202217777570075
-0.44932315602000994,-1.6839653190514168,2,0.0,0.18591047898691326,0.2756276892082517,0.0016937131115295906,0.1275486217551552,75.3070994650128,0.17452501452675473,0.31565518161115425,434.2205617911618,0.3674308041107318,0.016,0.7329566502219212,0.6710126127433945,0.7212184918486789,0.39514702511411426,-0.4154685219178602,0.047,0.3497564979883359,0.7047767036317717,0.7311776048567384,0.6869919638145762,0.30771456409709363,0.7196952452913983,0.7302237861897799,0.6645411419345978,-0.3285976320498445,-0.149189766314357,-0.13584818950556593,-0.15817720467010116,-0.3407982356792779,-0.13798840897557468,-0.13280541945079027,-0.16513966789228884,0.0,0.7322182476692524,1.2662662662662656,0.0167194975973199,-0.33533533533533516,0.5540540540540541,0.203,rbv2_glmnet,3,37,6,0.0014061256527900705
-0.4161319215328139,-1.6616061445691324,2,0.0,0.1831757646726231,0.28653117365433783,0.006572638846177398,0.13016376462221219,19.80388207362322,0.18088909438460077,0.2692771635068679,6.210720055950342,0.30624071064182645,0.015,0.6315821483699431,0.6589522107421051,0.6480820478390033,0.40805191187770895,-0.498283120433438,0.063,0.16667245573097214,0.5826111613969609,0.6992730609541873,0.8147372757416029,0.1587706547175899,0.562039979416401,0.6883571614236148,0.8357467735463364,-0.4119526022398675,-0.20633473523213847,-0.148663326870134,-0.09158398985028038,-0.3989199260789947,-0.20768531199789736,-0.1477843572922481,-0.07789063151753789,0.016,0.8010701097203745,1.0260260260260257,0.12422512537731506,-0.17517517517517506,0.5675675675675675,0.219,rbv2_glmnet,3,37,7,0.0011589974363644918
-0.08271794733789689,-1.8535841753117726,2,0.015,0.16326151067444017,0.27274431680678596,0.003715858526566626,0.13239375400591336,35.62938498851902,0.1492681195712512,0.28097333966015114,11.946638495372088,0.35070153295581974,0.032,0.5917703514566479,0.6452820412810569,0.6190366881550285,0.3903266228975413,-0.3891191707643246,0.046,0.465110461829567,0.8449033042001334,0.8696151374421808,0.8311869187185301,0.5262714110949943,0.8332729766686174,0.8667061618104018,0.8302827888506341,-0.24608026533510896,-0.0713534913873542,-0.059984612306413276,-0.07766382564869861,-0.20462484815532478,-0.07201695787757206,-0.0575756499362472,-0.07330855551921966,0.0,0.7882708385404313,1.1861861861861855,0.11862860508920267,-0.6556556556556553,0.6418918918918919,0.203,rbv2_glmnet,3,37,8,0.0014764094273249319
-0.5116507927761422,-1.6114332412175163,2,0.016,0.1111779295077634,0.2705586770873045,0.006863730419184849,0.11684474883398879,17.023504959838665,0.09589844676596426,0.18375069725052062,6.499742092128656,0.2727253041767518,0.031,0.4316789318617735,0.5731958611701248,0.48688417624698893,0.4215341350508375,-0.4433956211510675,0.047,0.41181645591385063,0.795109909817018,1.0945881113533864,0.9214102304450169,0.5305618186488239,0.9557579840240961,1.144582536811387,0.9441195460948862,-0.2847253475110886,-0.09918230918813892,0.04578780407288291,-0.0380433959303042,-0.2189360964718047,-0.0206335459334136,0.06743025489824017,-0.02606146865140918,0.0,0.7812978895988647,0.8258258258258254,0.08204068229865885,-0.29529529529529525,0.5675675675675675,0.187,rbv2_glmnet,3,37,9,0.0014441535393397034
